# RESPONSE #
continue Continue()
@困惑 WIZARD_CONFUSION
@恐惧 WIZARD_HORROR
@弱智 WIZARD_FEEBLEMIND
@小定序 WIZARD_MINOR_SEQUENCER
@法术定序 WIZARD_SPELL_SEQUENCER
@法术启动 WIZARD_SPELL_TRIGGER
@连锁意外 WIZARD_SPELL_TRIGGER
@骷髅陷阱 WIZARD_SKULL_TRAP
@延迟爆裂火球 WIZARD_DELAYED_BLAST_FIREBALL
@恐惧法印 WIZARD_SYMBOL_FEAR
@震慑法印 WIZARD_SYMBOL_STUN
@死亡法印 WIZARD_SYMBOL_DEATH
@法术重击 WIZARD_SPELL_STRIKE
@红宝石 WIZARD_RUBY_RAY_OF_REVERSAL
@凯尔本 WIZARD_WARDING_WHIP
@密言 WIZARD_SECRET_WORD
@breach WIZARD_BREACH
@破解 WIZARD_BREACH
@法穿 WIZARD_SPELL_THRUST
@识破魔法 WIZARD_PIERCE_MAGIC
@识破护盾 WIZARD_PIERCE_SHIELD
@dm INQUIS_DISPEL_MAGIC
@DM INQUIS_DISPEL_MAGIC
@rm WIZARD_REMOVE_MAGIC
@RM WIZARD_REMOVE_MAGIC
@真视 WIZARD_TRUE_SIGHT
@真实视域 WIZARD_TRUE_SIGHT
@法术陷阱 WIZARD_SPELL_TRAP
@法术护盾 WIZARD_SPELL_SHIELD
@法术无效结界 WIZARD_GLOBE_OF_INVULNERABILITY
@次级无效结界 WIZARD_MINOR_GLOBE_OF_INVULNERABILITY
@法术偏转 WIZARD_SPELL_DEFLECTION
@次级偏转 WIZARD_MINOR_SPELL_DEFLECTION
@法术反转 WIZARD_SPELL_TURNING
@次级反转 WIZARD_MINOR_SPELL_TURNING
@法术免疫 WIZARD_SPELL_IMMUNITY
@法免防护 WIZARD_SPELL_IMMUNITY_ABJURATION
@法免咒法 WIZARD_SPELL_IMMUNITY_CONJURATION
@法免预言 WIZARD_SPELL_IMMUNITY_DIVINATION
@法免附魔 WIZARD_SPELL_IMMUNITY_ENCHANTMENT
@法免幻术 WIZARD_SPELL_IMMUNITY_ILLUSIONIST
@法免塑能 WIZARD_SPELL_IMMUNITY_INVOCATION
@法免死灵 WIZARD_SPELL_IMMUNITY_NECROMANCY
@法免改变 WIZARD_SPELL_IMMUNITY_ALTERATION
@朦胧 WIZARD_BLUR
@镜影 WIZARD_MIRROR_IMAGE
@暗影门 WIZARD_SHADOW_DOOR
@误导 WIZARD_MISLEAD
@拟象 WIZARD_SIMULACRUM
@投影 WIZARD_PROJECT_IMAGE
@集体隐形 WIZARD_MASS_INVISIBILITY
@魂甲 WIZARD_SPIRIT_ARMOR
@蓝盾 WIZARD_FIRE_SHIELD_BLUE
@红盾 WIZARD_FIRE_SHIELD_RED
@石皮 WIZARD_STONE_SKIN
@防魔武 WIZARD_PROTECTION_FROM_MAGIC_WEAPONS
@pfmw WIZARD_PROTECTION_FROM_MAGIC_WEAPONS
@护罩 WIZARD_MANTLE
@高级壁罩 WIZARD_IMPROVED_MANTLE
@终极壁罩 WIZARD_ABSOLUTE_IMMUNITY
@防石化 WIZARD_PROTECTION_FROM_PETRIFICATION
@防邪恶 WIZARD_PROTECTION_FROM_EVIL
@防元素 WIZARD_PROTECTION_FROM_THE_ELEMENTS
@防能量 WIZARD_PROTECTION_FROM_MAGIC_ENERGY
@防普通远程 WIZARD_PROTECTION_FROM_NORMAL_MISSILES
@防普通武器 WIZARD_PROTECTION_FROM_NORMAL_WEAPONS
@防电 WIZARD_PROTECTION_FROM_ELECTRICITY
@防火 WIZARD_PROTECTION_FROM_FIRE
@骷髅战士 WIZARD_ANIMATE_DEAD
@魔邓肯 WIZARD_MORDENKAINENS_SWORD
@蜘蛛 WIZARD_SPIDER_SPAWN
@火巨灵 WIZARD_SUMMON_EFREET
@风巨灵 WIZARD_SUMMON_DJINNI
@哈克沙 WIZARD_SUMMON_HAKEASHAR
@雾 WIZARD_SUMMON_NISHRUU
@隐形灵体 WIZARD_INVISIBLE_STALKER
@土元素 WIZARD_CONJURE_EARTH_ELEMENTAL
@风元素 WIZARD_CONJURE_AIR_ELEMENTAL
@火元素 WIZARD_CONJURE_FIRE_ELEMENTAL
@翼龙 WIZARD_WYVERN_CALL
@邪魔 WIZARD_CACOFIEND
@狂魔 WIZARD_SUMMON_FIEND
@异界之门 WIZARD_GATE
@天使 WIZARD_SUMMON_PLANATAR_GOOD
@深渊恶魔 WIZARD_SUMMON_PLANATAR_EVIL
@解离术 WIZARD_DISINTEGRATE
@死亡一指 WIZARD_FINGER_OF_DEATH
@真死亡一指 WIZARD_FINGER_OF_DEATH_IGNORE_RESISTANCE
@律令死亡 WIZARD_POWER_WORD_KILL
@迷宫 WIZARD_MAZE
@死亡术 WIZARD_DEATH_SPELL
@死亡之雾 WIZARD_DEATH_FOG
@石化术 WIZARD_FLESH_TO_STONE
@真石化术 WIZARD_FLESH_TO_STONE_IGNORE_RESISTANCE
@女妖之嚎 WIZARD_WAIL_OF_THE_BANSHEE
@禁锢 WIZARD_IMPRISONMENT
@圣父的狂喜 TRANSFORMATION_DEATH
@凋死 WIZARD_ABI_DALZIMS_HORRID_WILTING
@焚云 WIZARD_INCENDIARY_CLOUD
@彗星 WIZARD_COMET
@流星爆 WIZARD_METEOR_SWARM
@龙息 WIZARD_DRAGON_BREATH
@巨力拳 WIZARD_BIGBYS_CLENCHED_FIST
@冰风暴 WIZARD_ICE_STORM
@虹光喷射 WIZARD_PRISMATIC_SPRAY
@拉洛克弱吸能 WIZARD_LARLOCH_MINOR_DRAIN
@燃烧之手 WIZARD_BURNING_HANDS
@喷火术 WIZARD_AGANNAZAR_SCORCHER
@连环闪电 WIZARD_CHAIN_LIGHTNING
@冰锥术 WIZARD_CONE_OF_COLD
@日焰 WIZARD_SUN_FIRE
@死云术 WIZARD_CLOUDKILL
@魔法飞弹 WIZARD_MAGIC_MISSILE
@五彩球 WIZARD_CHROMATIC_ORB
@强酸箭 WIZARD_MELF_ACID_ARROW
@微流星 WIZARD_MELF_METEOR
@火球术 WIZARD_FIREBALL
@闪电术 WIZARD_LIGHTNING_BOLT
@火焰箭 WIZARD_FLAME_ARROW
@毁灭魔剑 WIZARD_BLACK_BLADE_OF_DISASTER
@治疗严重伤害 CLERIC_CURE_SERIOUS_WOUNDS
@药水 "POTN08"
@强力药水 "POTN52"
@持续反击 Attack(LastAttackerOf(Myself))
@近战一轮 AttackReevaluate(NearestEnemyOf(Myself),15)
@恶魔 DEMONIC
@劣魔 GOLEM
@不死 UNDEAD
@空闲 ActionListEmpty()
@受伤 TookDamage()
@魔抗 RESISTMAGIC
@正常 STATE_NORMAL
~连锁3火球 seq3fireball
~连锁3闪电 seq3lightbolt
~连锁3骷髅 seq3skeleton
~连锁随机3火球闪电 seq3rand_fb_lb
~连锁蛛网火球 seqwebfb
~随机移动 randomwalk
~破幻影 break_phantom
~破沉默 break_silence
~破法术护盾 break_spellshield
~ai-法术战破魔 ai_magic_breach
~ai-战斗防护 ai_battle_protection
~ai-敌人数量判断 ai_enemy_num_judge
~ai-敌人多 ai_enemy_multy
~ai-敌人少 ai_enemy_uni
~ai-清理召唤物 ai_clear_summon
